8	1	ledger	1	0	2025-12-13 10:15:43.708263
9	1	ledger	112	0	2025-12-13 10:15:54.179122
10	1	ledger	6	0	2025-12-13 10:16:05.074285
11	1	ledger	117	0	2025-12-13 10:16:31.684286
12	1	ledger	114	0	2025-12-13 10:16:40.87228
13	1	ledger	118	0	2025-12-13 10:16:48.183044
14	1	ledger	252	0	2025-12-13 10:16:55.804506
15	1	ledger	221	0	2025-12-13 10:17:17.38561
18	1	ledger	125	0	2025-12-22 06:19:08.431459
19	8	ledger	352	0	2026-01-04 22:15:26.106368
21	1	ledger	203	0	2026-01-08 13:29:15.083413
22	7	ledger	350	0	2026-01-08 16:03:56.348683
24	8	ledger	369	0	2026-01-08 23:24:25.59206
25	8	ledger	358	0	2026-01-08 23:24:46.553722
26	8	ledger	364	0	2026-01-08 23:26:28.828843
\.


