1	COMP001	HADI L'SHI	t	2025-10-31 22:09:12.623479	\N
7	Beira	Beira	t	2026-01-04 17:50:14.128438	\N
8	HMDKIN	HMD KINSHASA	t	2026-01-04 18:23:52.797008	\N
9	MALI	MALI	t	2026-01-07 09:14:45.492889	\N
10	GC	GC - LSHI	t	2026-01-07 11:31:14.398605	\N
\.


