1	1	84	EG11412	\N	2025-11-03 09:44:33.968411
2	1	1544	EG12549	\N	2025-11-03 10:07:57.095723
3	1	190	MJS13227	\N	2025-11-03 10:21:15.277825
4	1	1724	MJS4146	\N	2025-11-03 10:21:40.58972
5	1	1566	B-85/86/88	\N	2025-11-03 10:23:18.478411
6	1	1566	B-52/B-85/86/88	\N	2025-11-03 10:23:27.53221
7	1	1710	MJS2176	\N	2025-11-03 10:31:14.000002
10	1	309	WH10061	\N	2025-11-05 09:48:21.38897
11	1	1798	HS862	\N	2025-11-05 10:00:00.689456
12	1	1965	WH50964	\N	2025-11-06 07:55:58.811759
13	1	1975	WH119	\N	2025-11-06 08:00:05.574766
14	1	1948	WH105	\N	2025-11-06 08:01:53.260632
15	1	1953	WH118	\N	2025-11-06 08:05:20.360778
16	1	320	WH117	\N	2025-11-06 08:05:42.203726
17	1	291	WH116	\N	2025-11-06 08:06:01.436686
18	1	688	WH115	\N	2025-11-06 08:06:23.034117
19	1	316	WH110	\N	2025-11-06 08:06:43.604686
20	1	305	WH109	\N	2025-11-06 08:07:02.810524
21	1	1978	WH108	\N	2025-11-06 08:07:25.411128
22	1	1980	WH107	\N	2025-11-06 08:07:58.62956
23	1	693	WH103	\N	2025-11-06 08:11:53.576851
24	1	1970	WH113	\N	2025-11-06 08:13:19.009919
25	1	280	SK#744	\N	2025-11-08 12:18:52.861653
26	1	1817	HS502	\N	2025-11-15 09:25:10.614768
27	1	673	AA021	\N	2025-11-29 07:06:34.399356
30	1	256	HS501	\N	2025-12-08 08:39:54.58438
36	1	292	WH50334	\N	2025-12-25 12:53:43.326728
37	1	695	WH50544	\N	2025-12-25 12:54:56.749574
38	1	328	WH10014	\N	2025-12-25 12:58:29.867646
39	1	298	WH104	\N	2025-12-31 12:26:09.228099
40	1	391	MR1002	\N	2025-12-31 13:54:14.790158
41	1	391	UW24	\N	2025-12-31 13:54:22.914048
42	8	5646	GS20095	\N	2026-01-04 22:43:33.692417
43	8	5589	BL.002	\N	2026-01-04 23:02:08.661703
44	1	1719	MJSN454	\N	2026-01-05 18:32:40.188571
45	9	6127	HS0492	\N	2026-01-07 09:26:17.939277
\.


