120	8	KINs1	Kinshasa#1				t	2026-01-05 15:28:59.464384	\N
122	8	kinsh2	Kinshasa#2				t	2026-01-05 15:29:21.817563	\N
129	1	Kolwezi	Kolwezi Depot				t	2026-01-06 21:03:07.989975	\N
130	9	MALI	MALI				t	2026-01-07 09:17:00.105079	\N
131	10	hdi1	Hadi 1				t	2026-01-08 09:01:06.606007	\N
132	10	hdi2	Hadi 2				t	2026-01-08 09:01:10.969203	\N
133	10	9klw	Kolwezi				t	2026-01-08 09:01:18.231825	\N
134	1	HDI1	Hadi 1				t	2026-01-08 09:36:41.503446	\N
135	1	HDI2	Hadi 2				t	2026-01-08 09:45:01.882763	\N
136	1	HDI3	Hadi 3				t	2026-01-08 10:28:01.496415	\N
137	1	Hadi4	Hadi 4				t	2026-01-08 10:31:02.14883	\N
138	1	KLW2	Kolwezi 2				t	2026-01-08 10:34:00.98471	\N
139	1	klw	Kolwezi				t	2026-01-08 10:34:06.880203	\N
113	7	Main	Main Location				t	2026-01-04 17:54:21.392059	\N
\.


