44	1	HASU4507880	9	OFFLOADED	2025-10-27	37158.75	5955.00	43113.75	2025-11-03 10:44:26.804339	\N	\N	\N	2025-12-10	manual	Hadi #2	8200.00	T174 DDR	CONNEX AFRICA	\N	\N	NCA	8500.00	t	\N	CONTINENTAL
85	1	TCNU4355513	4	OTW	2025-09-17	30626.12	3600.00	34226.12	2025-11-05 13:30:39.296708	\N	\N	\N	2025-11-28	manual	Hadi #2	8410.00	T871 EEZ	CHINGOLA	\N	\N	NCA	8500.00	t	\N	FARHAT
90	1	MRSU4006359	4	OTW	2025-09-20	31118.21	3600.00	34718.21	2025-11-05 13:35:27.397332	\N	\N	\N	2025-11-30	manual	Hadi #2	8410.00	T633 DQZ	WHISKY DRC 	\N	\N	NCA	8500.00	t	\N	FARHAT
247	1	TRHU4257172	2	OTW	2026-01-08	30945.15	2900.00	33845.15	2026-01-09 08:13:16.39733	\N	\N	\N	2026-01-24	manual	Hadi #2	\N	\N	\N	\N	\N	NAHLI	8500.00	f	\N	-
66	1	SUDU6925624	3	OFFLOADED	2025-08-22	36249.15	2660.00	38909.15	2025-11-05 09:57:21.187453	\N	\N	\N	\N	manual	\N	\N	\N	\N	\N	\N	\N	\N	f	\N	\N
73	1	MRSU5961060	5	OFFLOADED	2025-09-04	39349.55	2660.00	42009.55	2025-11-05 13:07:48.195644	\N	\N	\N	\N	manual	\N	\N	\N	\N	\N	\N	\N	\N	f	\N	\N
54	1	CAAU5277152	1	OFFLOADED	2025-08-21	173725.00	2660.00	176385.00	2025-11-05 09:41:50.781137	\N	\N	\N	\N	manual	\N	\N	\N	\N	\N	\N	\N	\N	f	\N	\N
75	1	SUDU6961128	1	OFFLOADED	2025-09-06	43117.50	2660.00	45777.50	2025-11-05 13:09:55.715341	\N	\N	\N	\N	manual	\N	\N	\N	\N	\N	\N	\N	\N	f	\N	\N
88	1	TRHU6470058	14	OFFLOADED	2025-09-18	52855.00	2694.41	55549.41	2025-11-05 13:34:00.286262	\N	\N	\N	\N	manual	\N	\N	\N	\N	\N	\N	\N	\N	f	\N	\N
55	1	HASU4556550	9	OFFLOADED	2025-08-25	39026.00	5805.00	44831.00	2025-11-05 09:42:35.796578	\N	\N	\N	\N	manual	\N	\N	\N	\N	\N	\N	\N	\N	f	\N	\N
65	1	TLLU4683690	3	OFFLOADED	2025-08-13	37891.00	2660.00	40551.00	2025-11-05 09:56:44.703615	\N	\N	\N	\N	manual	\N	\N	\N	\N	\N	\N	\N	\N	f	\N	\N
72	1	TCKU6524990	14	OFFLOADED	2025-09-03	49735.00	2694.41	52429.41	2025-11-05 13:06:58.799706	\N	\N	\N	\N	manual	\N	\N	\N	\N	\N	\N	\N	\N	f	\N	\N
78	1	TLLU5954923	1	OFFLOADED	2025-09-09	43828.00	2660.00	46488.00	2025-11-05 13:13:09.701467	\N	\N	\N	\N	manual	\N	\N	\N	\N	\N	\N	\N	\N	f	\N	\N
67	1	SUDU8901236	1	OFFLOADED	2025-08-19	40418.00	2660.00	43078.00	2025-11-05 09:57:59.895951	\N	\N	\N	\N	manual	\N	\N	\N	\N	\N	\N	\N	\N	f	\N	\N
82	1	MRSU5229634	5	OFFLOADED	2025-09-12	39629.10	2660.00	42289.10	2025-11-05 13:15:40.982985	\N	\N	\N	\N	manual	\N	\N	\N	\N	\N	\N	\N	\N	f	\N	\N
57	1	MRSU3194755	5	OFFLOADED	2025-08-22	38116.50	2660.00	40776.50	2025-11-05 09:46:10.484422	\N	\N	\N	\N	manual	\N	\N	\N	\N	\N	\N	\N	\N	f	\N	\N
84	1	MRSU6491103	10	OFFLOADED	2025-09-16	39925.64	2030.00	41955.64	2025-11-05 13:27:42.998141	\N	\N	\N	\N	manual	\N	\N	\N	\N	\N	\N	\N	\N	f	\N	\N
68	1	TCNU2539933	5	OFFLOADED	2025-08-20	38765.60	2660.00	41425.60	2025-11-05 09:58:35.391647	\N	\N	\N	\N	manual	\N	\N	\N	\N	\N	\N	\N	\N	f	\N	\N
87	1	TCNU3490648	1	OFFLOADED	2025-09-17	42276.00	2660.00	44936.00	2025-11-05 13:33:34.186856	\N	\N	\N	\N	manual	\N	\N	\N	\N	\N	\N	\N	\N	f	\N	\N
80	1	MRSU3003490	5	OFFLOADED	2025-09-11	38352.95	2660.00	41012.95	2025-11-05 13:14:43.38623	\N	\N	\N	\N	manual	\N	\N	\N	\N	\N	\N	\N	\N	f	\N	\N
56	1	MRKU2634100	10	OFFLOADED	2025-08-21	39448.60	1780.00	41228.60	2025-11-05 09:43:25.903996	\N	\N	\N	\N	manual	\N	\N	\N	\N	\N	\N	\N	\N	f	\N	\N
23	1	TCKU6579251	1	OFFLOADED	2025-10-03	42287.00	2660.00	44947.00	2025-11-03 10:16:06.809534	\N	\N	\N	\N	manual	\N	\N	\N	\N	\N	\N	\N	\N	f	\N	\N
63	1	TCKU6898984	4	OFFLOADED	2025-08-07	29769.01	3625.00	33394.01	2025-11-05 09:55:25.401391	\N	\N	\N	\N	manual	\N	\N	\N	\N	\N	\N	\N	\N	f	\N	\N
79	1	MRSU6556143	5	OFFLOADED	2025-09-10	39098.75	2660.00	41758.75	2025-11-05 13:13:51.082671	\N	\N	\N	\N	manual	\N	\N	\N	\N	\N	\N	\N	\N	f	\N	\N
71	1	CAAU7766002	10	OFFLOADED	2025-09-02	40303.65	1780.00	42083.65	2025-11-05 12:50:32.105787	\N	\N	\N	\N	manual	\N	\N	\N	\N	\N	\N	\N	\N	f	\N	\N
74	1	MRKU4519580	1	OFFLOADED	2025-09-04	41543.50	2660.00	44203.50	2025-11-05 13:09:24.500688	\N	\N	\N	\N	manual	\N	\N	\N	\N	\N	\N	\N	\N	f	\N	\N
25	1	MRSU4248291	5	OFFLOADED	2025-10-04	39766.20	2660.00	42426.20	2025-11-03 10:18:26.997755	\N	\N	\N	\N	manual	\N	\N	\N	\N	\N	\N	\N	\N	f	\N	\N
22	1	MSKU1436139	5	OFFLOADED	2025-10-02	35845.65	2660.00	38505.65	2025-11-03 10:15:07.490947	\N	\N	\N	\N	manual	\N	\N	\N	\N	\N	\N	\N	\N	f	\N	\N
24	1	MRSU5428512	1	OFFLOADED	2025-10-03	39705.50	2660.00	42365.50	2025-11-03 10:16:41.3904	\N	\N	\N	\N	manual	\N	\N	\N	\N	\N	\N	\N	\N	f	\N	\N
20	1	MRSU4618478	2	OFFLOADED	2025-10-02	30856.00	2600.00	33456.00	2025-11-03 09:21:43.327967	\N	\N	\N	\N	manual	\N	\N	\N	\N	\N	\N	\N	\N	f	\N	\N
77	1	TCKU6728400	2	OFFLOADED	2025-09-08	28871.62	2600.00	31471.62	2025-11-05 13:11:48.194435	\N	\N	\N	\N	manual	\N	\N	\N	\N	\N	\N	\N	\N	f	\N	\N
30	1	MRSU4462580	10	OFFLOADED	2025-10-14	40437.95	2630.00	43067.95	2025-11-03 10:27:11.087733	\N	\N	\N	\N	manual	\N	\N	\N	\N	\N	\N	\N	\N	f	\N	\N
