975	16	6232	GC109	GC C4	24.000	23.85	572.40
976	16	6231	GC108	GC C3	24.000	66.75	1602.00
977	16	6261	GC138	GC MB2	44.000	118.88	5230.72
978	16	6265	GC142	GC S3	24.000	122.83	2947.92
979	16	6262	GC139	GC MB3	388.000	57.17	22181.96
980	16	6244	GC121	GC Gum Boots Adults	8.000	38.08	304.64
981	16	6254	GC131	GC LHH Bulky Shoes B	30.000	43.08	1292.40
982	16	6266	GC143	GC S4	442.000	50.47	22307.74
983	16	6252	GC129	GC Laptop Bags#2	9.000	25.37	228.33
984	16	6257	GC134	GC M2	140.000	168.84	23637.60
985	16	6259	GC136	GC M4	98.000	49.34	4835.32
986	16	6248	GC125	GC Ladies2-Close	83.000	75.19	6240.77
987	16	6256	GC133	GC M1	3.000	275.21	825.63
988	16	6234	GC111	GC CB2	183.000	100.60	18409.80
989	16	6240	GC117	GC Cream Ladies Shoes	2.000	220.98	441.96
990	16	6250	GC127	GC Ladies2-Open	26.000	134.98	3509.48
991	16	6272	GC149	GC Sandal 3	12.000	100.32	1203.84
992	16	6263	GC140	GC N1131-L2+G3+G4 Mix Bags	71.000	54.32	3856.72
993	16	6274	GC151	GC SB2	1.000	154.20	154.20
994	16	6268	GC145	GC SAFETY BOOT 2	6.000	106.65	639.90
995	16	6267	GC144	GC SAFETY BOOT 1	2.000	180.43	360.86
996	16	6246	GC123	GC HB2 (New Grade)	35.000	68.67	2403.45
997	16	6224	GC101	GC Army Boots	4.000	182.08	728.32
998	16	6226	GC103	GC BBC2	7.000	105.64	739.45
999	16	6238	GC115	GC Cream-Boots-Child	1.000	325.18	325.18
1000	16	6245	GC122	GC Hand bag A	10.000	86.79	867.89
1001	16	6275	GC152	GC SchoolBag No.1	2.000	178.19	356.38
1002	16	6233	GC110	GC CB1	116.000	190.52	22100.32
1003	16	6258	GC135	GC M3	728.000	100.34	73047.52
1004	16	6264	GC141	GC RollerShoes	18.000	71.93	1294.74
1005	16	6241	GC118	GC Crocs No.1	2.000	84.84	169.68
1006	16	6242	GC119	GC Crocs No.2	8.000	48.86	390.88
1007	16	6276	GC153	GC SS Mix (Slipper Sandal)	54.000	81.67	4410.18
1008	16	6273	GC150	GC SB1	3.000	278.74	836.22
1009	16	6260	GC137	GC MB1	7.000	223.47	1564.29
1010	16	6251	GC128	GC Laptop Bags#1	4.000	84.87	339.48
1011	16	6247	GC124	GC HB3	19.000	42.54	808.26
1012	16	6236	GC113	GC CB3	322.000	57.97	18666.34
1013	16	6281	GC158	GC Winter CB2	30.000	65.01	1950.30
1014	16	6284	GC161	GC Winter MB3	551.000	39.81	21935.31
1015	16	6283	GC160	GC Winter MB2	9.000	94.88	853.92
1016	16	6282	GC159	GC Winter CB3	278.000	31.77	8832.06
1017	16	6249	GC126	GC Ladies2-Mix New Grade	195.000	47.86	9332.70
545	8	5289	HS0263	SH CWR #2 40 KG	24.000	63.94	1534.56
546	8	5334	HS0291	SH MEN SWEATER # 2 40 KG	7.000	68.91	482.37
547	8	5290	HS0298	SH CWR#3 40 KG	54.000	53.94	2912.76
548	8	5335	HS0304	SH MEN SWEATER # 3 W3 40 KG	2.000	48.83	97.66
549	8	5345	HS0305	SH MIX ANORAK 40 KG	7.000	58.91	412.37
550	8	5296	HS0339	SH HARD TOYS 15 KG	2.000	53.94	107.88
551	8	5346	HS1076	SH MIX ANORAK 80 KG 80 KG	3.000	48.87	146.61
552	8	5291	HS673	SH DRAPES 40 KG	3.000	68.87	206.61
553	8	5305	HS714	SH LADY HEAVY DRESS 50 KG	4.000	118.89	475.56
554	8	5304	HS762	SH LADY HEAVY DRESS#2 40 KG	5.000	58.91	294.55
555	8	5344	HS853	SH M-HOODED #2 40 KG	4.000	68.89	275.56
556	8	5358	HS0013	SH SPECAIL BLANKET 40 KG	6.000	88.92	533.52
557	8	5316	HS0178	SH LADY UNDERWEAR # 2 40 KG	1.000	88.83	88.83
558	8	5288	HS0165	SH COMFORTER #2 40 KG	4.000	63.92	255.68
559	8	5357	HS0127	SH SOCKS 40 KG	4.000	98.89	395.56
1018	17	6232	GC109	GC C4	10.000	23.99	239.90
1019	17	6236	GC113	GC CB3	56.000	58.04	3250.24
\.


