16	344	61	Consumption		2025-11-13 07:07:07.433627
17	345	63	Consumption		2025-11-13 07:07:52.548733
18	346	63	Consumption		2025-11-13 07:11:46.970432
19	347	58	Consumption		2025-11-13 07:30:52.765606
20	348	58	Production		2025-11-13 07:31:05.273439
21	350	55	Consumption		2025-11-13 08:44:19.35713
22	351	55	Production		2025-11-13 08:44:55.99102
26	447	63	Consumption		2025-11-14 14:49:13.043111
27	448	63	Production		2025-11-14 14:49:25.143958
28	449	60	Consumption		2025-11-15 08:37:39.032375
29	450	60	Production		2025-11-15 08:39:35.003806
30	584	68	Production		2025-11-20 07:46:35.753229
31	585	65	Consumption		2025-11-20 08:19:05.521082
32	586	65	Production		2025-11-20 08:19:20.256655
33	587	66	Production		2025-11-20 08:21:31.833009
34	588	66	Consumption		2025-11-20 08:21:51.31543
35	589	67	Production		2025-11-20 08:23:56.682568
36	590	67	Consumption		2025-11-20 08:25:40.58367
37	606	69	Production		2025-11-20 11:11:20.865868
38	694	69	Consumption		2025-11-22 10:00:15.738516
39	695	69	Production		2025-11-22 10:03:29.652489
40	750	67	Consumption		2025-11-26 13:10:50.120151
43	841	67	Consumption		2025-11-27 08:02:10.067476
44	842	67	Production		2025-11-27 08:02:41.267213
45	843	76	Consumption		2025-11-27 08:09:02.639091
46	844	76	Production		2025-11-27 08:09:11.892361
47	845	78	Consumption		2025-11-27 08:21:39.283489
48	846	78	Production		2025-11-27 08:22:01.479451
49	1072	84	Consumption		2025-12-02 14:03:18.100069
50	1073	84	Production		2025-12-02 14:03:51.672205
51	1175	84	Consumption		2025-12-04 09:41:29.023772
52	1176	84	Production		2025-12-04 09:42:02.580898
53	1177	85	Consumption		2025-12-04 09:50:20.484015
54	1178	85	Production		2025-12-04 09:51:21.180755
59	1366	85	Production		2025-12-09 14:08:17.890319
60	1438	82	Consumption		2025-12-11 07:59:49.957226
61	1439	85	Consumption		2025-12-11 08:10:42.401551
62	1440	85	Production		2025-12-11 08:10:50.71032
65	1443	84	Consumption		2025-12-11 08:17:35.830749
66	1444	84	Production		2025-12-11 08:18:11.101462
67	1446	83	Production		2025-12-11 08:49:33.693265
68	1447	83	Consumption		2025-12-11 08:50:07.995704
69	1454	83	Consumption	CADEAU ALI HAMDAN	2025-12-11 11:55:10.585024
70	1456	87	Consumption		2025-12-11 12:16:09.32598
71	1457	87	Production		2025-12-11 12:16:25.423589
73	1671	103	Consumption		2025-12-18 07:57:49.692269
74	1672	103	Production		2025-12-18 07:58:00.117381
75	1673	82	Consumption		2025-12-18 08:05:18.179445
76	1674	100	Consumption		2025-12-18 08:10:27.980791
77	1675	100	Production		2025-12-18 08:10:57.006836
86	1826	100	Mixed		2025-12-22 14:07:15.028465
88	1956	82	Consumption	CADEAU NOELLA	2025-12-26 12:52:48.155852
91	2101	103	Mixed		2025-12-31 08:47:30.352623
93	2307	122	Mixed		2026-01-06 09:25:24.676262
94	2469	136	Mixed		2026-01-09 07:55:21.467527
95	2486	134	Mixed		2026-01-09 11:07:54.064715
96	2488	131	Mixed		2026-01-09 11:13:30.128977
97	2528	136	Consumption		2026-01-10 12:08:56.685767
98	2562	135	Mixed		2026-01-12 11:02:02.903791
99	2563	135	Mixed		2026-01-12 11:06:12.667759
100	2564	135	Mixed		2026-01-12 11:10:05.115504
101	2565	135	Mixed		2026-01-12 11:12:47.133909
102	2594	137	Mixed		2026-01-13 10:23:15.90271
103	2649	137	Mixed		2026-01-15 06:58:24.345612
104	2660	135	Mixed		2026-01-15 09:08:46.453365
\.


