76	39	\N	\N	\N	10	0.00	40437.95	PO PO-11 - Container MRSU4462580	2025-11-03 10:27:11.103244	\N
78	40	\N	\N	\N	1	0.00	42400.00	PO PO-12 - Container CIPU5211868	2025-11-03 10:27:54.988046	\N
80	41	\N	\N	\N	5	0.00	38196.25	PO PO-13 - Container MRSU4950538	2025-11-03 10:28:21.902888	\N
1280	538	1	\N	\N	\N	0.00	18.00	Payment - Arrangement	2025-11-18 14:14:08.191628	\N
1304	545	44	\N	\N	\N	0.00	7400.00	Transport fees for container TCKU6434406	2025-11-19 06:46:12.59596	\N
1311	549	203	\N	\N	\N	17000.00	0.00	Journal Entry - Office Charges	2025-11-19 06:48:27.084681	\N
1312	549	125	\N	\N	\N	0.00	17000.00	Journal Entry - Office Charge	2025-11-19 06:48:27.578467	\N
82	42	\N	\N	\N	3	0.00	33980.85	PO PO-14 - Container TRHU7679124	2025-11-03 10:28:49.694353	\N
84	43	\N	\N	\N	10	0.00	43341.46	PO PO-15 - Container MRKU4093176	2025-11-03 10:30:13.001104	\N
7507	2314	381	\N	\N	\N	16586.00	0.00	PO PO-2024-002 - Container MSKU1779821	2026-01-07 09:27:44.233426	\N
86	44	\N	\N	\N	9	0.00	37423.25	PO PO-16 - Container MRKU4471419	2025-11-03 10:31:59.597617	\N
7508	2314	383	\N	\N	\N	0.00	16586.00	PO PO-2024-002 - Credit from MALI	2026-01-07 09:27:44.234632	\N
88	45	\N	\N	\N	5	0.00	38225.40	PO PO-17 - Container MRKU3048824	2025-11-03 10:32:39.196263	\N
7509	2315	384	\N	\N	\N	16586.00	0.00	MALI PO PO-2024-002 - Container MSKU1779821	2026-01-07 09:27:44.237434	\N
90	46	\N	\N	\N	1	0.00	42262.00	PO PO-18 - Container HASU5142160	2025-11-03 10:33:07.125329	\N
7510	2315	\N	\N	\N	2	0.00	16586.00	MALI PO PO-2024-002 - Container MSKU1779821	2026-01-07 09:27:44.238418	\N
92	47	\N	\N	\N	2	0.00	31843.05	PO PO-19 - Container MRKU2184174	2025-11-03 10:34:22.80066	\N
7827	2392	395	\N	\N	\N	11490.00	0.00	Cash from POS Sales - 34 items	2026-01-08 12:06:01.105737	\N
94	48	\N	\N	\N	4	0.00	29405.95	PO PO-20 - Container HASU4948510	2025-11-03 10:36:38.898804	\N
7828	2392	398	\N	\N	\N	0.00	11490.00	Sales Revenue - 34 items	2026-01-08 12:06:01.105737	\N
96	49	\N	\N	\N	7	0.00	31508.50	PO PO-21 - Container MRKU2036198	2025-11-03 10:37:08.185368	\N
8157	2458	202	\N	\N	\N	8500.00	0.00	Duties for container MRKU4846829	2026-01-09 07:46:56.794214	\N
98	50	\N	\N	\N	5	0.00	38794.10	PO PO-22 - Container MRKU5309850	2025-11-03 10:37:41.08666	\N
8158	2458	43	\N	\N	\N	0.00	8500.00	Duties for container MRKU4846829	2026-01-09 07:46:56.796018	\N
100	51	\N	\N	\N	5	0.00	43176.40	PO PO-23 - Container MRSU3617184	2025-11-03 10:38:05.692428	\N
8159	2459	203	\N	\N	\N	3000.00	0.00	Office charges for container MRKU4846829	2026-01-09 07:46:56.79938	\N
102	52	\N	\N	\N	11	0.00	14340.00	PO PO-24 - Container MRSU4796079	2025-11-03 10:40:48.386102	\N
8160	2459	1	\N	\N	\N	0.00	3000.00	Office charges for container MRKU4846829	2026-01-09 07:46:56.800906	\N
104	53	\N	\N	\N	9	0.00	37158.75	PO PO-25 - Container HASU4507880	2025-11-03 10:44:26.896251	\N
8161	2460	204	\N	\N	\N	8200.00	0.00	Transport fees for container MRKU4846829	2026-01-09 07:46:56.806691	\N
106	54	\N	\N	\N	5	0.00	38735.40	PO PO-26 - Container GAOU7125567	2025-11-03 10:44:54.195003	\N
8162	2460	24	\N	\N	\N	0.00	8200.00	Transport fees for container MRKU4846829	2026-01-09 07:46:56.809101	\N
108	55	\N	\N	\N	1	0.00	42852.00	PO PO-27 - Container MRSU5814813	2025-11-03 10:45:22.295679	\N
8163	2461	5	\N	\N	\N	17715.00	0.00	Cash from POS Sales - 51 items	2026-01-09 07:47:03.851075	\N
110	56	\N	\N	\N	3	0.00	36785.85	PO PO-28 - Container TCKU7684307	2025-11-03 10:45:48.29386	\N
8164	2461	152	\N	\N	\N	0.00	17715.00	Sales Revenue - 51 items	2026-01-09 07:47:03.851075	\N
112	57	\N	\N	\N	7	0.00	32210.25	PO PO-32 - Container MRSU4251696	2025-11-03 10:46:19.694973	\N
8483	2528	333	\N	\N	\N	0.09	0.00	Consumption expense - Consumption voucher	2026-01-10 12:08:56.685767	\N
114	58	\N	\N	\N	1	0.00	42927.75	PO PO-29 - Container MRKU4846829	2025-11-03 10:46:51.885007	\N
8709	2596	107	\N	\N	\N	50000.00	0.00	Payment - CALLA	2026-01-13 10:38:33.599365	\N
116	59	\N	\N	\N	5	0.00	38468.49	PO PO-33 - Container MRSU5538145	2025-11-03 13:02:24.592641	\N
8710	2596	114	\N	\N	\N	0.00	50000.00	Payment - CALLA	2026-01-13 10:38:33.599365	\N
2633	912	123	\N	\N	\N	12000.00	0.00	Payment - MUSTAFA DAKIK	2025-11-28 12:59:17.390129	\N
1281	538	172	\N	\N	\N	2.00	0.00	Payment - Transport	2025-11-18 14:14:08.726716	\N
1282	538	1	\N	\N	\N	0.00	2.00	Payment - Transport	2025-11-18 14:14:09.254343	\N
1283	538	208	\N	\N	\N	133.00	0.00	Payment - Offloading Expenses	2025-11-18 14:14:09.802901	\N
1284	538	1	\N	\N	\N	0.00	133.00	Payment - Offloading Expenses	2025-11-18 14:14:10.394641	\N
1285	538	169	\N	\N	\N	3.00	0.00	Payment - Reduction	2025-11-18 14:14:10.89026	\N
130	66	\N	\N	\N	5	0.00	37186.90	PO PO-39 - Container TCNU1932118	2025-11-04 11:44:50.28112	\N
1286	538	1	\N	\N	\N	0.00	3.00	Payment - Reduction	2025-11-18 14:14:11.386412	\N
