22	feb47577-5517-4789-8ef0-d4319c3de6e7	7	Admin	\N	\N	\N	2026-01-04 17:52:55.549293	f	f	t	0
23	feb47577-5517-4789-8ef0-d4319c3de6e7	8	Admin	\N	\N	\N	2026-01-04 18:24:00.194239	f	f	t	0
27	c96e8276-7de3-4221-a4c1-f48a009c044f	1	Admin	\N	\N	\N	2026-01-04 23:31:46.511697	f	f	t	0
28	c96e8276-7de3-4221-a4c1-f48a009c044f	8	Admin	\N	\N	\N	2026-01-04 23:31:56.385029	f	f	t	0
25	d7e7889b-bb87-4eec-81b6-a4a407374fc4	8	POS2	122	352	\N	2026-01-04 21:42:26.883846	f	f	f	0
15	5c91fb7b-738f-4824-821a-5191e5c65ac6	1	Manager	\N	\N	\N	2025-11-10 20:19:58.352519	f	f	f	0
1	feb47577-5517-4789-8ef0-d4319c3de6e7	1	Admin	\N	\N	\N	2025-10-31 22:12:40.999954	f	t	t	0
24	610e0c9c-bb55-4a0b-bbab-5e0b1e24dc9f	8	POS1	120	352	\N	2026-01-04 20:36:46.559217	f	f	f	0
30	feb47577-5517-4789-8ef0-d4319c3de6e7	9	Admin	\N	\N	\N	2026-01-07 09:14:56.474328	f	f	t	0
31	feb47577-5517-4789-8ef0-d4319c3de6e7	10	Admin	\N	\N	\N	2026-01-07 11:31:34.449351	f	f	t	0
5	976af137-a9dc-4970-aa01-913ec437a4f3	1	POS2	136	4	2	2025-11-01 15:58:09.647587	f	f	f	0
10	40caad4e-2b57-41d3-a9b5-59b1b2447828	1	POS1	135	3	3	2025-11-02 09:59:37.235143	f	f	f	0
7	40caad4e-2b57-41d3-a9b5-59b1b2447828	10	POS4	132	396	4	2025-11-01 15:58:45.512606	f	f	f	0
4	97519655-0746-4f89-8762-f87b38976851	1	POS1	134	1	1	2025-11-01 15:57:54.938865	f	f	f	0
32	97519655-0746-4f89-8762-f87b38976851	10	POS1	131	395	\N	2026-01-12 08:08:20.686623	f	f	f	0
6	f0dfd96c-2aa2-43d6-a2da-79caa79363c3	1	POS3	137	5	3	2025-11-01 15:58:29.500996	f	f	f	0
33	7f3fad73-b7a0-4707-a931-f7f8fdb78d2e	1	POS1	138	6	\N	2026-01-12 08:09:24.968415	f	f	f	0
19	a099855e-92f1-4255-b68a-211dafdd9573	1	POS1	139	6	1	2025-11-15 19:54:21.18726	f	f	f	0
8	a099855e-92f1-4255-b68a-211dafdd9573	10	POS1	133	397	1	2025-11-01 15:58:59.787241	f	f	f	0
\.


