460	214	Freight	4819.00	\N	2026-01-04 22:11:32.588725
461	214	Document Charges	70.00	\N	2026-01-04 22:11:32.589805
469	218	Freight	4965.00	\N	2026-01-04 22:36:29.988633
491	229	Freight	4569.00	\N	2026-01-04 22:59:22.184916
492	229	Document Charges	70.00	\N	2026-01-04 22:59:22.187015
498	233	Freight	4519.00	\N	2026-01-04 23:11:21.306165
499	233	Document Charges	70.00	\N	2026-01-04 23:11:21.307952
506	237	Freight	3850.00	\N	2026-01-07 09:28:35.005555
507	237	Document Charges	100.00	\N	2026-01-07 09:28:35.006672
516	241	Freight	2636.00	\N	2026-01-08 09:05:55.794827
517	241	Discount	-2178.70	\N	2026-01-08 09:05:55.796668
525	245	Freight	2663.00	\N	2026-01-08 13:11:55.284228
526	245	Discount	-2185.50	\N	2026-01-08 13:11:55.286143
534	249	Freight	2305.00	\N	2026-01-10 06:32:26.398915
535	249	Document Charges	70.00	\N	2026-01-10 06:32:26.400101
542	253	Freight	2470.00	\N	2026-01-12 07:21:21.216913
543	253	Discount	-1799.56	\N	2026-01-12 07:21:21.21889
551	257	Freight	4269.00	\N	2026-01-13 06:05:16.991972
552	257	Document Charges	70.00	\N	2026-01-13 06:05:16.993135
43	20	Freight	3300.00	\N	2025-11-03 09:21:43.69815
44	20	Discount	-800.00	\N	2025-11-03 09:21:43.699955
45	20	Document Charges	100.00	\N	2025-11-03 09:21:43.701382
48	22	Freight	2590.00	\N	2025-11-03 10:15:08.192101
49	22	Document Charges	70.00	\N	2025-11-03 10:15:08.193978
50	23	Freight	2660.00	\N	2025-11-03 10:16:07.908725
51	24	Freight	2660.00	\N	2025-11-03 10:16:42.393793
52	25	Freight	2590.00	\N	2025-11-03 10:18:27.893255
53	25	Document Charges	70.00	\N	2025-11-03 10:18:27.894863
54	26	Freight	2590.00	\N	2025-11-03 10:19:02.039021
55	26	Document Charges	70.00	\N	2025-11-03 10:19:02.083353
56	27	Freight	2590.00	\N	2025-11-03 10:19:40.591899
57	27	Document Charges	70.00	\N	2025-11-03 10:19:40.682568
58	28	Freight	2660.00	\N	2025-11-03 10:20:19.389467
59	29	Freight	2800.00	\N	2025-11-03 10:22:12.382587
60	29	Surcharge	3000.00	\N	2025-11-03 10:22:12.385137
61	29	Fumigation	30.00	\N	2025-11-03 10:22:12.386718
62	29	Document Charges	75.00	\N	2025-11-03 10:22:12.388515
63	30	Freight	5550.00	\N	2025-11-03 10:27:11.698334
64	30	Fumigation	80.00	\N	2025-11-03 10:27:11.699912
65	30	Discount	-3000.00	\N	2025-11-03 10:27:11.70138
66	31	Freight	2660.00	\N	2025-11-03 10:27:55.886712
67	32	Freight	2540.00	\N	2025-11-03 10:28:22.621003
68	32	Document Charges	70.00	\N	2025-11-03 10:28:22.622549
69	33	Freight	2540.00	\N	2025-11-03 10:28:51.007843
70	33	Document Charges	70.00	\N	2025-11-03 10:28:51.009295
71	34	Freight	5055.00	\N	2025-11-03 10:30:13.607275
