1	1	524	6.000	66.16	396.96	2025-11-01 10:59:43.507352	\N
2	1	532	2.000	87.66	175.32	2025-11-01 10:59:43.53309	\N
3	1	548	4.000	90.63	362.52	2025-11-01 10:59:43.554321	\N
4	1	555	4.000	130.70	522.80	2025-11-01 10:59:43.584722	\N
5	1	561	10.000	128.92	1289.20	2025-11-01 10:59:43.594919	\N
6	1	571	3.000	79.41	238.23	2025-11-01 10:59:43.603202	\N
7	1	573	1.000	79.24	79.24	2025-11-01 10:59:43.61119	\N
8	1	591	5.000	48.86	244.30	2025-11-01 10:59:43.68295	\N
9	1	594	2.000	69.12	138.24	2025-11-01 10:59:43.692004	\N
10	1	586	2.000	103.71	207.42	2025-11-01 10:59:43.701293	\N
11	1	293	5.000	72.13	360.65	2025-11-01 10:59:43.708786	\N
12	1	309	5.000	105.69	528.45	2025-11-01 10:59:43.736855	\N
13	1	314	3.000	102.52	307.56	2025-11-01 10:59:43.797752	\N
14	1	319	5.000	112.44	562.20	2025-11-01 10:59:43.805065	\N
15	1	572	2.000	129.11	258.22	2025-11-01 10:59:43.812837	\N
16	2	548	1.000	90.63	90.63	2025-11-05 10:52:23.428248	\N
17	2	514	2.000	240.70	481.40	2025-11-05 10:52:23.439017	\N
18	3	580	1.000	211.51	211.51	2025-11-05 10:53:15.824452	\N
19	4	514	12.000	239.75	2877.00	2025-11-05 10:53:55.922957	\N
20	5	514	10.000	240.46	2404.60	2025-11-05 10:55:54.882645	\N
21	6	153	7.000	329.19	2304.33	2025-11-05 12:46:00.396294	\N
22	7	514	10.000	240.46	2404.60	2025-11-06 08:35:26.82541	\N
23	8	548	1.000	90.63	90.63	2025-11-06 08:36:20.684861	\N
24	9	580	1.000	211.51	211.51	2025-11-06 08:36:54.158036	\N
25	10	514	2.000	240.70	481.40	2025-11-06 08:38:16.793193	\N
26	10	337	2.000	48.49	96.98	2025-11-06 08:38:16.793193	\N
27	11	514	10.000	240.64	2406.40	2025-11-08 17:42:00.332764	\N
28	12	50	9.000	54.62	491.58	2025-11-11 06:46:44.025964	\N
29	13	87	5.000	69.56	347.80	2025-11-11 07:58:18.451652	\N
30	13	83	25.000	149.92	3748.00	2025-11-11 07:58:18.451652	\N
31	14	87	5.000	69.56	347.80	2025-11-11 07:58:38.235047	\N
32	15	87	5.000	69.56	347.80	2025-11-11 07:58:53.221262	\N
33	16	487	2.000	254.12	508.24	2025-11-11 08:01:14.921302	\N
34	17	487	2.000	254.12	508.24	2025-11-11 08:36:31.546902	\N
35	17	372	5.000	58.82	294.10	2025-11-11 08:36:31.546902	\N
1759	227	531	20.000	50.65	1013.00	2026-01-08 10:50:16.773117	139
1878	233	1564	5.000	45.15	225.75	2026-01-09 07:56:38.813401	138
1883	237	531	20.000	50.65	1013.00	2026-01-10 11:07:15.474291	139
1884	237	220	2.000	207.06	414.12	2026-01-10 11:07:15.474291	139
