1	parentCompanyId	1	\N	2026-01-02 06:38:25.782864	2026-01-02 06:38:25.782864
2	equity_adjustment_1	-513438.87	\N	2026-01-07 11:29:06.99521	2026-01-14 09:56:32.264
3	equity_adjustment_10	-160.61	\N	2026-01-08 13:42:46.293082	2026-01-14 12:31:13.688
\.


