2	1	12	0	2025-12-03 19:43:15.836418
4	1	16	0	2025-12-13 10:17:49.617391
5	1	40	0	2025-12-13 10:17:56.725113
6	1	43	0	2025-12-13 10:18:11.583308
7	1	44	0	2025-12-13 10:18:20.816303
8	1	24	0	2025-12-13 10:24:51.82286
9	1	26	0	2025-12-13 10:25:00.088081
10	1	311	0	2025-12-13 10:25:08.392373
11	1	96	0	2025-12-13 10:25:15.956283
12	1	95	0	2025-12-13 10:25:23.479255
13	1	97	0	2025-12-13 10:25:30.167099
14	8	359	0	2026-01-04 23:15:37.698249
15	8	365	0	2026-01-04 23:28:30.584308
17	1	3	0	2026-01-08 13:00:57.37616
18	8	357	0	2026-01-08 23:25:08.351452
\.


