1	1	GC	GC	\N	t	2025-11-01 06:59:40.281214	\N
2	1	EG	EG	\N	t	2025-11-01 06:59:45.785911	\N
3	1	UNCATEGORIZED	Uncategorized	\N	t	2025-11-01 07:00:41.850088	\N
4	1	DR	DR	\N	t	2025-11-01 07:25:33.666816	\N
5	1	GL	GL	\N	t	2025-11-01 07:25:42.750465	\N
6	1	GS	GS	\N	t	2025-11-01 07:25:50.950289	\N
7	1	MJS	MJS	\N	t	2025-11-01 07:45:00.842617	\N
8	1	SH	SH	\N	t	2025-11-01 07:49:38.587685	\N
9	1	SK	SK	\N	t	2025-11-01 07:49:45.271624	\N
10	1	TI	TI	\N	t	2025-11-01 07:49:50.347223	\N
11	1	UF	UF	\N	t	2025-11-01 07:49:55.204064	\N
12	1	WH	WH	\N	t	2025-11-01 07:49:57.647397	\N
13	1	AJ	AJ	\N	t	2025-11-01 08:00:06.964122	\N
14	1	ET	ET	\N	t	2025-11-01 08:09:59.341348	\N
15	1	GR	GR	\N	t	2025-11-01 08:10:05.946426	\N
16	1	KN	KN	\N	t	2025-11-01 08:10:12.046671	\N
17	1	MR	MR	\N	t	2025-11-01 08:10:18.354152	\N
18	1	UN	UN	\N	t	2025-11-01 08:10:26.395438	\N
19	1	LV	LV	\N	t	2025-11-01 09:05:12.297573	\N
20	1	GCC	GCC	\N	t	2025-11-01 09:45:07.292635	\N
21	1	FL	FL	\N	t	2025-11-01 09:45:13.442217	\N
22	1	NM	NM	\N	t	2025-11-01 10:01:02.369061	\N
48	1	EX	EX	\N	t	2025-11-28 06:04:59.675878	\N
63	1	PL	PL	\N	t	2025-12-08 12:23:08.525072	\N
64	7	SH	SH	\N	t	2026-01-04 17:56:47.453509	\N
65	7	UNCATEGORIZED	Uncategorized	\N	t	2026-01-04 17:59:42.392886	\N
66	8	3AP	3AP	\N	t	2026-01-04 18:28:35.098575	\N
67	8	AJ	AJ	\N	t	2026-01-04 18:28:37.676485	\N
68	8	WH	WH	\N	t	2026-01-04 18:28:40.081126	\N
69	8	GS	GS	\N	t	2026-01-04 18:28:42.790993	\N
70	8	UN	UN	\N	t	2026-01-04 18:28:44.884554	\N
71	8	GCC	GCC	\N	t	2026-01-04 18:28:47.582848	\N
72	8	UNCATEGORIZED	Uncategorized	\N	t	2026-01-04 18:29:58.568245	\N
73	8	SH	SH	\N	t	2026-01-04 18:41:38.061691	\N
74	9	SH	SH	\N	t	2026-01-07 09:17:09.292469	\N
75	9	UNCATEGORIZED	Uncategorized	\N	t	2026-01-07 09:18:35.644221	\N
76	10	GC	GC	\N	t	2026-01-08 08:51:10.585583	\N
77	10	UNCATEGORIZED	Uncategorized	\N	t	2026-01-08 08:51:34.242084	\N
\.


