51	1	\N	PO-PO-23-1762166285685	Purchase	2025-10-24	Purchase Order PO-23 - Container MRSU3617184 (Offloaded)	43176.40	f	2025-11-03 10:38:05.687719	\N	2026-01-06 13:14:19.389
258	1	\N	PAYMENT-1762866330463	Payment	2025-11-11	Payment voucher	21000.00	f	2025-11-11 13:05:04.689333	\N	2026-01-06 12:52:44.688
234	1	\N	TRANSFER-1762843629398	StockTransfer	2025-11-11	Stock transfer from KOLWEZI DEPOT to Kolwezi 1	491.58	f	2025-11-11 06:46:43.483017	\N	2026-01-06 13:14:19.389
237	1	\N	TRANSFER-1762847923919	StockTransfer	2025-11-11	Stock transfer from Hadi#1 to Hadi#2	4095.80	f	2025-11-11 07:58:17.946658	\N	2026-01-06 13:14:19.389
2308	8	120	SALES-1767723118964	Sales	2026-01-06	POS Import - 76 items	28330.00	f	2026-01-06 18:11:58.965643	Kinshasa#1	\N
2312	9	\N	PO-PO-2024-002-1767777994299	Purchase	2026-01-07	Purchase Order PO-2024-002 - Container CAAU6087835 (Pending Offload)	34443.03	f	2026-01-07 09:26:34.299533	\N	\N
2313	1	\N	IC-PO-2024-002-1767777994386	Journal	2026-01-07	Inter-company credit: MALI - PO PO-2024-002	34443.03	f	2026-01-07 09:26:34.386549	\N	\N
2375	1	\N	DUTY-MRKU5025330-1767873115191	Payment	2026-01-03	Duties for container MRKU5025330	8500.00	f	2026-01-08 11:51:55.191891	\N	\N
2376	1	\N	OFFICE-MRKU5025330-1767873115196	Payment	2026-01-03	Office charges for container MRKU5025330	3000.00	f	2026-01-08 11:51:55.196985	\N	\N
2377	1	\N	TRANS-MRKU5025330-1767873115202	Payment	2026-01-03	Transport fees for container MRKU5025330	8210.00	f	2026-01-08 11:51:55.202874	\N	\N
41	1	\N	PO-PO-13-1762165701897	Purchase	2025-10-16	Purchase Order PO-13 - Container MRSU4950538 (Offloaded)	38196.25	f	2025-11-03 10:28:21.899607	\N	\N
47	1	\N	PO-PO-19-1762166062793	Purchase	2025-10-22	Purchase Order PO-19 - Container MRKU2184174 (Offloaded)	31843.05	f	2025-11-03 10:34:22.795831	\N	\N
2438	10	132	SALES-1767941506342	Sales	2026-01-07	POS Import - 6 items	1090.00	f	2026-01-09 06:51:46.341777	Hadi 2	\N
52	1	\N	PO-PO-24-1762166448377	Purchase	2025-10-24	Purchase Order PO-24 - Container MRSU4796079 (Offloaded)	14340.00	f	2025-11-03 10:40:48.381114	\N	\N
54	1	\N	PO-PO-26-1762166694188	Purchase	2025-10-27	Purchase Order PO-26 - Container GAOU7125567 (Offloaded)	38735.40	f	2025-11-03 10:44:54.190245	\N	\N
2498	10	\N	JOURNAL-1767962054780	Journal	2026-01-09	\N	1360.00	f	2026-01-09 12:34:14.780305	\N	\N
36	1	\N	PO-PO-8-1762165179005	Purchase	2025-10-10	Purchase Order PO-8 - Container MRSU5576490 (Offloaded)	37403.10	f	2025-11-03 10:19:39.007255	\N	\N
2558	1	\N	PAYMENT-1768213938084	Payment	2026-01-01	january rent	1500.00	f	2026-01-12 10:32:18.083399	\N	\N
