1	12	83	2025-12-13 09:37:36.960395
2	12	84	2025-12-13 09:37:52.128445
3	12	85	2025-12-13 09:37:55.713457
4	12	86	2025-12-13 09:38:02.831583
5	12	87	2025-12-13 09:38:07.262696
6	12	88	2025-12-13 09:38:10.068044
7	12	89	2025-12-13 09:38:18.668788
8	12	90	2025-12-13 09:38:22.622696
9	8	59	2025-12-13 09:38:58.054987
10	8	60	2025-12-13 09:38:59.529382
11	8	61	2025-12-13 09:39:01.106842
12	8	62	2025-12-13 09:39:02.451036
13	8	64	2025-12-13 09:39:03.405869
14	8	65	2025-12-13 09:39:05.300942
15	8	66	2025-12-13 09:39:07.368915
16	8	67	2025-12-13 09:39:08.409929
17	8	68	2025-12-13 09:39:09.381775
18	8	69	2025-12-13 09:39:10.405235
19	8	70	2025-12-13 09:39:11.309961
20	8	71	2025-12-13 09:39:12.908666
21	8	72	2025-12-13 09:39:15.385478
22	8	73	2025-12-13 09:39:15.984853
23	8	74	2025-12-13 09:39:16.667334
24	8	76	2025-12-13 09:39:17.792868
25	8	77	2025-12-13 09:39:19.489524
26	8	75	2025-12-13 09:39:21.078691
27	8	52	2025-12-13 09:39:24.230906
28	8	55	2025-12-13 09:39:24.987361
29	8	51	2025-12-13 09:39:27.123689
30	8	53	2025-12-13 09:39:27.686714
31	8	54	2025-12-13 09:39:28.682127
32	8	56	2025-12-13 09:39:31.564834
33	8	57	2025-12-13 09:39:33.376742
34	8	58	2025-12-13 09:39:34.847145
35	8	78	2025-12-13 09:39:35.875211
36	8	79	2025-12-13 09:39:36.804378
37	8	80	2025-12-13 09:39:38.670365
38	8	81	2025-12-13 09:39:39.88434
39	8	82	2025-12-13 09:39:40.922854
\.


