1	3	4	6		2025-11-01 10:59:43.505775
2	83	19	22		2025-11-05 10:52:23.4265
3	84	22	19		2025-11-05 10:53:15.82268
4	85	22	21		2025-11-05 10:53:55.921224
5	86	21	22		2025-11-05 10:55:54.880856
6	88	12	21		2025-11-05 12:46:00.396294
7	134	21	22		2025-11-06 08:35:26.82541
8	135	19	22		2025-11-06 08:36:20.684861
9	136	22	19		2025-11-06 08:36:54.158036
10	137	19	21		2025-11-06 08:38:16.793193
11	165	50	49		2025-11-08 17:42:00.332764
12	234	45	60		2025-11-11 06:46:44.025964
13	237	55	56		2025-11-11 07:58:18.451652
14	238	55	57		2025-11-11 07:58:38.235047
15	239	55	58		2025-11-11 07:58:53.221262
16	240	60	61		2025-11-11 08:01:14.921302
17	242	60	61		2025-11-11 08:36:31.546902
223	2322	122	120		2026-01-07 11:04:00.498248
19	247	57	56		2025-11-11 10:49:48.109538
20	289	57	56		2025-11-12 08:54:11.85625
22	299	55	60		2025-11-12 09:53:23.293113
23	300	58	60		2025-11-12 09:55:01.312681
24	318	60	61		2025-11-12 11:49:37.926756
25	349	60	61		2025-11-13 08:31:43.583205
26	353	58	61		2025-11-13 08:46:13.149985
27	354	58	61		2025-11-13 08:46:37.803381
28	355	58	61		2025-11-13 08:51:51.167183
29	356	60	61		2025-11-13 08:52:50.404456
30	360	60	61		2025-11-13 11:07:10.231486
31	361	57	61		2025-11-13 11:22:54.408383
32	362	58	60		2025-11-13 11:26:51.853742
33	363	60	61		2025-11-13 11:28:47.792419
34	370	63	58		2025-11-13 13:24:11.895199
35	371	57	56		2025-11-13 13:25:28.711081
36	374	60	61		2025-11-14 06:00:16.617759
37	409	55	56		2025-11-14 08:28:47.744912
38	411	55	56		2025-11-14 11:15:47.502282
39	418	57	56		2025-11-14 11:43:39.884497
40	419	63	58		2025-11-14 11:44:14.515761
41	424	55	63		2025-11-14 12:58:47.50662
227	2362	139	138		2026-01-08 10:50:16.773117
43	451	63	56		2025-11-15 08:40:47.461644
44	463	63	61		2025-11-15 10:00:09.895981
45	464	58	60		2025-11-15 10:02:24.216206
46	466	57	56		2025-11-15 10:33:46.707927
229	2364	135	139	\N	2026-01-08 10:53:11.182262
231	2467	135	139	\N	2026-01-09 07:53:32.492415
233	2470	138	139		2026-01-09 07:56:38.813401
124	1183	83	85		2025-12-04 11:19:43.257256
